,SITC 2 DIGIT's IMPORT AAVG (%),SITC 2 DIGIT's EXPORT AAVG (%)
0,-2.2917590487817923,3.8572411211839666
1,6.497763012132977,10.248169144748898
2,5.050474837035955,6.339755052023259
3,6.077026573534287,6.884425550384189
4,3.427665367055149,11.972335987631547
5,9.392324542286266,8.236983245057147
6,0.976990188971838,1.950834919008217
7,6.952784776295773,9.779076098539779
8,2.5364691423299406,3.6820785154399216
9,5.433756490001037,7.482567978087583
11,1.439201081347652,1.6077067652386738
12,-4.262422613553298,-9.674017430234223
21,20.11290586532651,-5.154795423867204
22,5.375372092152573,2.534197774087375
23,2.784206759196804,3.1576423312577075
24,6.801737115209599,1.641760732981316
25,28.521480973766767,357.36245107615593
26,4.762220107198776,2.7704159549809666
27,6.213636846863818,14.404939366366303
28,20.916193584134856,22.660475172038375
29,5.508681554203001,7.3489863619489615
32,18.503303456291174,19.417822320731105
33,4.136178816967547,1.7749265648207835
34,11.581434488681499,-3.7585546286423597
35,16.960352739586877,1571.2442811205228
41,19.997552574385832,123.57640611115383
42,8.163500932963668,-0.7769954191805188
43,27.957008823691705,2.128520791482695
51,4.963999876729544,4.878673319581476
52,7.504454201820055,13.5130839901512
53,7.069012822336973,6.356333971256041
54,7.630426334377671,12.165729261009169
55,8.865563293889645,8.890669177281683
56,-5.623057134280246,8.149919523156326
57,11.678376590103138,15.083972017434464
58,10.934880958350547,7.79242968157978
59,12.667623609696497,8.468609410077919
61,-3.6148016811492525,47.46474654588202
62,4.534515835942344,-6.96427368974573
63,14.525103769729588,-3.5330959616662994
64,5.942995742518923,7.495774709029572
65,8.094900909871424,4.727828910783238
66,5.357066043891442,9.632049855987425
67,2.4493064739044184,23.491238747849206
68,0.2864883815324052,7.561176989305725
69,3.8259752170714667,5.571836371550063
71,5.879341078930533,11.763312638780667
72,5.718126975636919,9.557419397789433
73,2.6309001104726875,4.82073621051101
74,4.073359428437198,6.149200383360376
75,0.20507232122124278,0.9163514272516345
76,3.3651888450888423,1.768774968392021
77,6.855509309105445,11.341950975379378
78,3.2302442454238856,7.085003503856381
79,-3.205595313256709,19.367355485492467
81,13.874861757097046,-5.0393529005366835
82,13.862855497746976,8.105477533010886
83,16.15841649551368,10.571377105653841
84,19.748759345803233,8.838628682996449
85,23.614001307458263,6.843012313120704
87,6.271515528882119,12.806442929599879
88,3.8053283393335615,3.191546089420666
89,7.9015192411067305,11.317876958202993
93,6.192971743753764,-0.32345136109706385
96,-10.72483873964789,91.89160259664764
97,0.5274003426578189,29.158223225907793
